# مرجع الديموغرافيا L1 — سكان (World Bank) + نسبة مسلمين (Pew Research). يُبنى عبر tools/fetch_demographics.py — لا يُعدَّل يدوياً.
# Muslim %% source: https://github.com/datasets/world-religion-projections — original: https://www.pewresearch.org/religion/feature/religious-composition-by-country-2010-2050/
iso3,name_en,population,population_year,population_source,muslim_pct,muslim_pct_year,muslim_pct_source,note
ASM,American Samoa,46765,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
ATA,Antarctica,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
ATF,French Southern and Antarctic Lands,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
ATG,Antigua and Barbuda,93772,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
AUS,Australia,27196812,2024,World Bank (data/worldbank_seed.csv),3,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية
AUT,Austria,9177982,2024,World Bank (data/worldbank_seed.csv),6.2,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
AZE,Azerbaijan,10202830,2024,World Bank (data/worldbank_seed.csv),97.3,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
BDI,Burundi,14047786,2024,World Bank (data/worldbank_seed.csv),2.9,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
BEL,Belgium,11858610,2024,World Bank (data/worldbank_seed.csv),8,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية معتبرة
BEN,Benin,14462724,2024,World Bank (data/worldbank_seed.csv),24.6,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
BES,Caribbean Netherlands,,,,1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation؛ لا عدد سكان في المرجع الحالي
BFA,Burkina Faso,23548781,2024,World Bank (data/worldbank_seed.csv),62.7,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
BGD,Bangladesh,173562364,2024,World Bank (data/worldbank_seed.csv),90,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
BGR,Bulgaria,6441421,2024,World Bank (data/worldbank_seed.csv),14.2,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
BHR,Bahrain,1588670,2024,World Bank (data/worldbank_seed.csv),70,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
BHS,Bahamas,401283,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
BIH,Bosnia and Herzegovina,3164253,2024,World Bank (data/worldbank_seed.csv),46.5,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
BLM,Saint Barthélemy,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
BLR,Belarus,9132629,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
BLZ,Belize,417072,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
BMU,Bermuda,64636,2024,World Bank (data/worldbank_seed.csv),1.1,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
BOL,Bolivia,12413315,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
BRA,Brazil,211998573,2024,World Bank (data/worldbank_seed.csv),0.1,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقل من 1%
BRB,Barbados,282467,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
BRN,Brunei,462721,2024,World Bank (data/worldbank_seed.csv),75.1,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
BTN,Bhutan,791524,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
BVT,Bouvet Island,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
BWA,Botswana,2521139,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
CAF,Central African Republic,5330690,2024,World Bank (data/worldbank_seed.csv),9.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
CAN,Canada,41288599,2024,World Bank (data/worldbank_seed.csv),3,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية
CCK,Cocos (Keeling) Islands,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
CHE,Switzerland,9005582,2024,World Bank (data/worldbank_seed.csv),6,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية
CHL,Chile,19764771,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
CHN,China,1408975000,2024,World Bank (data/worldbank_seed.csv),2,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية صغيرة نسبياً
CIV,Ivory Coast,31934230,2024,World Bank (data/worldbank_seed.csv),37.2,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
CMR,Cameroon,29123744,2024,World Bank (data/worldbank_seed.csv),19.3,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
COD,DR Congo,109276265,2024,World Bank (data/worldbank_seed.csv),1.5,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
COG,Congo,6332961,2024,World Bank (data/worldbank_seed.csv),1.2,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
COK,Cook Islands,,,,1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation؛ لا عدد سكان في المرجع الحالي
COL,Colombia,52886363,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
COM,Comoros,866628,2024,World Bank (data/worldbank_seed.csv),98.3,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
CPV,Cape Verde,524877,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
CRI,Costa Rica,5129910,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
CUB,Cuba,10979783,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
CUW,Curaçao,155967,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
CXR,Christmas Island,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
CYM,Cayman Islands,74457,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
CYP,Cyprus,1358282,2024,World Bank (data/worldbank_seed.csv),25.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
CZE,Czechia,10905028,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
DEU,Germany,83516593,2024,World Bank (data/worldbank_seed.csv),7,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية معتبرة
DJI,Djibouti,1168722,2024,World Bank (data/worldbank_seed.csv),96.9,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
DMA,Dominica,66205,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
DNK,Denmark,5976992,2024,World Bank (data/worldbank_seed.csv),5.1,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
DOM,Dominican Republic,11427557,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
DZA,Algeria,46814308,2024,World Bank (data/worldbank_seed.csv),98,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
ECU,Ecuador,18135478,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
EGY,Egypt,116538258,2024,World Bank (data/worldbank_seed.csv),90,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
ERI,Eritrea,3535603,2024,World Bank (data/worldbank_seed.csv),36.6,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
ESH,Western Sahara,,,,99.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",لا عدد سكان في المرجع الحالي
ESP,Spain,48848840,2024,World Bank (data/worldbank_seed.csv),3,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية
EST,Estonia,1372341,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
ETH,Ethiopia,132059767,2024,World Bank (data/worldbank_seed.csv),34,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية كبيرة
FIN,Finland,5619911,2024,World Bank (data/worldbank_seed.csv),1.3,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
FJI,Fiji,928784,2024,World Bank (data/worldbank_seed.csv),6.3,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
FLK,Falkland Islands,,,,1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation؛ لا عدد سكان في المرجع الحالي
FRA,France,68551653,2024,World Bank (data/worldbank_seed.csv),9,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أكبر حصة في أوروبا الغربية
FRO,Faroe Islands,54681,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
FSM,Micronesia,113160,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
GAB,Gabon,2538952,2024,World Bank (data/worldbank_seed.csv),12.2,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
GBR,United Kingdom,69226000,2024,World Bank (data/worldbank_seed.csv),6,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية
GEO,Georgia,3699557,2024,World Bank (data/worldbank_seed.csv),11.6,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
GGY,Guernsey,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
GHA,Ghana,34427414,2024,World Bank (data/worldbank_seed.csv),17.5,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
GIB,Gibraltar,39329,2024,World Bank (data/worldbank_seed.csv),4.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
GIN,Guinea,14754785,2024,World Bank (data/worldbank_seed.csv),84.6,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
GLP,Guadeloupe,,,,1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation؛ لا عدد سكان في المرجع الحالي
GMB,Gambia,2759988,2024,World Bank (data/worldbank_seed.csv),95.3,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
GNB,Guinea-Bissau,2201352,2024,World Bank (data/worldbank_seed.csv),46.1,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
GNQ,Equatorial Guinea,1892516,2024,World Bank (data/worldbank_seed.csv),4.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
GRC,Greece,10405134,2024,World Bank (data/worldbank_seed.csv),5.9,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
GRD,Grenada,117207,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
GRL,Greenland,56836,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
GTM,Guatemala,18406359,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
GUF,French Guiana,,,,1.3,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",لا عدد سكان في المرجع الحالي
GUM,Guam,167777,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
GUY,Guyana,831087,2024,World Bank (data/worldbank_seed.csv),6.1,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
HKG,Hong Kong,7524100,2024,World Bank (data/worldbank_seed.csv),2.1,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
HMD,Heard Island and McDonald Islands,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
HND,Honduras,10825703,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
HRV,Croatia,3866200,2024,World Bank (data/worldbank_seed.csv),1.6,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
HTI,Haiti,11772557,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
HUN,Hungary,9562065,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
IDN,Indonesia,283487931,2024,World Bank (data/worldbank_seed.csv),87,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أكبر عدد مسلمين في العالم
IMN,Isle of Man,84160,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
IND,India,1450935791,2024,World Bank (data/worldbank_seed.csv),15,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية كبيرة العدد المطلق
IOT,British Indian Ocean Territory,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
IRL,Ireland,5395790,2024,World Bank (data/worldbank_seed.csv),1.5,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
IRN,Iran,91567738,2024,World Bank (data/worldbank_seed.csv),99.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
IRQ,Iraq,46042015,2024,World Bank (data/worldbank_seed.csv),96,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
ISL,Iceland,386506,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
ISR,Israel,9974400,2024,World Bank (data/worldbank_seed.csv),20.1,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
ITA,Italy,58952704,2024,World Bank (data/worldbank_seed.csv),5,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية
JAM,Jamaica,2839175,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
JEY,Jersey,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
JOR,Jordan,11552876,2024,World Bank (data/worldbank_seed.csv),97,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
JPN,Japan,123975371,2024,World Bank (data/worldbank_seed.csv),0.2,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقل من 1%
KAZ,Kazakhstan,20592571,2024,World Bank (data/worldbank_seed.csv),72.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
KEN,Kenya,56432944,2024,World Bank (data/worldbank_seed.csv),11,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية
KGZ,Kyrgyzstan,7221868,2024,World Bank (data/worldbank_seed.csv),89.4,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
KHM,Cambodia,17638801,2024,World Bank (data/worldbank_seed.csv),2.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
KIR,Kiribati,134518,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
KNA,Saint Kitts and Nevis,46843,2024,World Bank (data/worldbank_seed.csv),,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة
KOR,South Korea,51751065,2024,World Bank (data/worldbank_seed.csv),0.2,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقل من 1%
KWT,Kuwait,4897263,2024,World Bank (data/worldbank_seed.csv),74,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
LAO,Laos,7769819,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
LBN,Lebanon,5805962,2024,World Bank (data/worldbank_seed.csv),61.2,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
LBR,Liberia,5612817,2024,World Bank (data/worldbank_seed.csv),11.7,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
